Semantic Field,Structure,Database ID,Synset,Phrase 1,Phrase 2,Definiton,Jpn ID,Jpn Synset,Phrase 1,Phrase 2,Jpn Definition
Attribute,entity:abstraction:attribute:property:degree:intensity:force,05042508,"force,forcefulness,strength",,,"physical energy or intensity; ""he hit with all the force he could muster""; ""it was destroyed by the strength of the gale""; ""a government has not the vitality and forcefulness of a living man""",05035353-n,"勢い,強さ,力,勢",,,物理的な力、または強さ
Attribute,entity:abstraction:attribute:property:degree:intensity:force:energy,05043116,"energy,vigor,vigour,zip",,,"forceful exertion; ""he plays tennis with great energy""; ""he's full of zip""",05035961-n,"活動力,生気,精,ヴァイタリティ,精力,気力,血気,精根,バイタリティ,ヴァイタリティー,精気,神気,意気,活気,エナジー,気勢,エネルギー,バイタリティー,力,元気,活力",,,力の行使
Attribute,entity:abstraction:attribute:property:degree:intensity:force:momentum,05042975,"momentum,impulse",,,"an impelling force or strength; ""the car's momentum carried it off the road""",05035820-n,"勢い,推進力,余勢,勢",,,推進する力または強さ
Attribute,entity:abstraction:attribute:property:degree:quality,04735326,"quality,caliber,calibre",,,"a degree or grade of excellence or worth; ""the quality of students has risen""; ""an executive of low caliber""",04728068-n,"品等,品質,クオリティ,クオリティー,品柄,クォリティー,質",,,優秀さまたは価値の階級または等級
Attribute,entity:abstraction:attribute:property:heredity:inheritance:ancestry:origin,04930920,"origin,descent,extraction",,,"properties attributable to your ancestry; ""he comes from good origins""",04923743-n,"祖,素姓,元祖,血統,ソース,家筋,ルーツ,血筋,発祥,系,素性,家柄,素生",,,先祖に特有の特性
Attribute,entity:abstraction:attribute:property:isotropy,04924616,"isotropy,symmetry",,,(physics) the property of being isotropic; having the same value when measured in different directions,04917439-n,等方性,,,等方性である特性
Attribute,entity:abstraction:attribute:property:magnitude,05097645,magnitude,,,"the property of relative size or extent (whether large or small); ""they tried to predict the magnitude of the explosion""; ""about the magnitude of a small pea""",05090441-n,"規模,大いさ,大きさ",,,相対的な大きさまたは範囲の（大きいか小さいにせよ）特性
Attribute,entity:abstraction:attribute:property:magnitude:amount:increase,05116247,"increase,increment",,,"the amount by which something increases; ""they proposed an increase of 15 percent in the fare""",05108947-n,"増,増進,増加,増量,増し,増分,増加分,加増,伸び,増大",,,何かがその分増える量
Attribute,entity:abstraction:attribute:property:magnitude:amount:increase:raise,05117485,"raise,rise,wage hike,hike,wage increase,salary increase",,,"the amount a salary is increased; ""he got a 3% raise""; ""he got a wage hike""",05110185-n,"増,引上,値上がり,引き上げ,ベースアップ,増し,増額,賃上げ,アップ,引上げ,引揚,引揚げ,引き揚げ,増俸",,,給料が増える額
Attribute,entity:abstraction:attribute:property:magnitude:amount:insufficiency,05120433,"insufficiency,inadequacy,deficiency",,,"lack of an adequate quantity or number; ""the inadequacy of unemployment benefits""",05113133-n,"闕乏,手うす,欠,不足,欠くこと,不全,欠乏,欠失,闕如,手薄,不十分さ,不充分,欠如,欠乏性,不十分,不充分さ,不備,不完全",,,十分な量や数に欠けていること
Attribute,entity:abstraction:attribute:property:magnitude:amount:insufficiency:deficit,05121671,"deficit,shortage,shortfall",,,"the property of being an amount by which something is less than expected or required; ""new blood vessels bud out from the already dilated vascular bed to make up the nutritional deficit""",05114371-n,"闕乏,不足,欠乏",,,何かが予測または必要より少ないときの、その少ない分であることの特質
Attribute,entity:abstraction:attribute:property:magnitude:amount:number,05128718,"number,figure",,,"the property possessed by a sum or total or indefinite quantity of units or individuals; ""the number of parameters is small""; ""the figure was about a thousand""",05121418-n,"値,数字,数",,,合計、総、単位や個々の不明確な数量に有する特性
Attribute,entity:abstraction:attribute:property:magnitude:amount:number:minority,05130115,minority,,,"being or relating to the smaller in number of two parts; ""when the vote was taken they were in the minority""; ""he held a minority position""",05122850-n,"少数,少数派,マイノリティ,少数者,マイノリティー",,,2つの部分のうち数の少ない方であること、またはそれに関連していること
Attribute,entity:abstraction:attribute:property:magnitude:amount:number:preponderance,05129364,"preponderance,prevalence",,,"a superiority in numbers or amount; ""a preponderance of evidence against the defendant""",05122099-n,"優越,優勢,優位,優越性",,,数か量における優越
Attribute,entity:abstraction:attribute:property:magnitude:amount:quantity:abundance:overabundance:excess,05127014,"excess,surplus,surplusage,nimiety",,,a quantity much larger than is needed,05119714-n,"余剰,剰余,過剰,過剰量,余分",,,必要とされるよりずっと大きい量
Attribute,entity:abstraction:attribute:property:magnitude:degree,05101827,degree,,,"the seriousness of something (e.g., a burn or crime); ""murder in the second degree""; ""a second degree burn""",05094565-n,"度,級",,,何か（やけどや犯罪など）の深刻さ
Attribute,entity:abstraction:attribute:property:magnitude:dimension,05100843,dimension,,,the magnitude of something in a particular direction (especially length or width or height),05093581-n,"ディメンション,大きさ,寸法",,,特定の方向（特に長さ、幅または高さ）の何かの大きさ
Attribute,entity:abstraction:attribute:property:magnitude:dimension:width,05143415,"width,breadth",,,the extent of something from side to side,05136150-n,"横幅,幅,幅員",,,端から端までの何かの範囲
Attribute,entity:abstraction:attribute:property:magnitude:extent:area,05135784,"area,expanse,surface area",,,"the extent of a 2-dimensional surface enclosed within a boundary; ""the area of a rectangle""; ""it was about 500 square feet in area""",05128519-n,広がり,,,境界線で閉じた2次元の表面の広がり
Communication,entity:abstraction:attribute:property:magnitude:extent:area:space:margin,06401041,margin,,,"the blank space that surrounds the text on a page; ""he jotted a note in the margin""",06389398-n,"欄外,余白",,,ページ上のテキストを囲む余白
Attribute,entity:abstraction:attribute:property:magnitude:extent:length,05140372,length,,,"the property of being the extent of something from beginning to end; ""the editor limited the length of my article to 500 words""",05133107-n,長さ,,,始めから終りまでの範囲であるという性質
Attribute,entity:abstraction:attribute:property:magnitude:extent:scope,05132642,"scope,range,reach,orbit,compass,ambit",,,"an area in which something acts or operates or has power or control: ""the range of a supersonic jet""; ""a piano has a greater range than the human voice""; ""the ambit of municipal legislation""; ""within the compass of this article""; ""within the scope of an investigation""; ""outside the reach of the law""; ""in the political orbit of a world power""",05125377-n,"レンジ,スコープ,圏,領域,幅,範囲,射程",,,何かが行動したり、稼動したり、権力や影響力をもったりする区域：
Attribute,entity:abstraction:attribute:property:magnitude:extent:scope:spectrum,05135484,spectrum,,,a broad range of related objects or values or qualities or ideas or activities,05128219-n,範囲,,,広範囲にわたる、関連している物、値、性質、考え、または活動
Attribute,entity:abstraction:attribute:property:magnitude:proportion,05098398,"proportion,dimension",,,"magnitude or extent; ""a building of vast proportions""",05091194-n,"ディメンション,大きさ",,,規模または程度
Attribute,entity:abstraction:attribute:property:magnitude:size,05106204,size,,,"the physical magnitude of something (how big it is); ""a wolf is about the size of a large dog""",05098942-n,"大いさ,サイズ,大きさ",,,何かの物理的大きさ（どれほど大きいか）
Attribute,entity:abstraction:attribute:property:manner:life style,04937809,"life style,life-style,lifestyle,modus vivendi",,,a manner of living that reflects the person's values and attitudes,04930632-n,"生活スタイル,ライフスタイル,生活様式,生き方,生方,生きかた",,,その人の価値観や姿勢を反映する生活様式
Attribute,entity:abstraction:attribute:property:olfactory property,04987257,"olfactory property,smell,aroma,odor,odour,scent",,,any property detected by the olfactory system,04980008-n,"薫香,臭味,馨,匂い,アロマ,薫り,臭い,におい,香気,馨香,香り,臭み,異香,芳香,馨り,異臭,匂,薫,香",,,嗅覚器官によって感知される特性
Attribute,entity:abstraction:attribute:property:physical property:luminosity,05025269,"luminosity,brightness,brightness level,luminance,luminousness,light",,,"the quality of being luminous; emitting or reflecting light; ""its luminosity is measured relative to that of our sun""",05018103-n,輝度,,,光を発する性質
Attribute,entity:abstraction:attribute:property:physical property:momentum,05036303,momentum,,,"the product of a body's mass and its velocity; ""the momentum of the particles was deduced from meteoritic velocities""",05029137-n,運動量,,,物体の質量と速度の積
Attribute,entity:abstraction:attribute:property:physical property:reflection:echo,05017985,"echo,reverberation,sound reflection,replication",,,"the repetition of a sound resulting from reflection of the sound waves; ""she could hear echoes of her own footsteps""",05010801-n,"残響音,山びこ,山彦,反響,残響,エコー,谺,木魂,木霊",,,音波の反射による音の反復
Attribute,entity:abstraction:attribute:property:physical property:weight,05034009,weight,,,the vertical force exerted by a mass as a result of gravity,05026843-n,"斤量,重量,目方,斤目,ウェート,ウエイト,重味,掛け目,掛目,量目,荷重,重み,重さ,ウエート",,,重力による質量によってはたらきかけられた垂直の力
Attribute,entity:abstraction:attribute:property:sound property:pitch,04992447,pitch,,,the property of sound that varies with variation in the frequency of vibration,04985198-n,"調子,音の高さ,音調",,,音響振動の周波数の変動によって変化する音の特性
Attribute,entity:abstraction:attribute:property:sound property:silence,04989456,"silence,quiet",,,"the absence of sound; ""he needed silence in order to sleep""; ""the street was quiet""",04982207-n,"サイレンス,静かさ,物静かさ,静寂さ",,,音がないこと
Attribute,entity:abstraction:attribute:property:sound property:sound:ring,04988907,ring,,,"a characteristic sound; ""it has the ring of sincerity""",04981658-n,#N/A,,,特徴のある音
Attribute,entity:abstraction:attribute:property:sound property:volume,04997456,"volume,loudness,intensity",,,"the magnitude of sound (usually in a specified direction); ""the kids played their music at full volume""",04990220-n,"ボリューム,vol,音の大きさ,vol.,音量,ヴォリューム",,,（通例指定された方向への）音の大きさ
Attribute,entity:abstraction:attribute:property:strength,05036872,strength,,,"the property of being physically or mentally strong; ""fatigue sapped his strength""",05029706-n,"強さ,力",,,肉体的、または精神的に強い特性
Attribute,entity:abstraction:attribute:property:tactile property:texture,04954054,texture,,,"the feel of a surface or a fabric; ""the wall had a smooth texture""",04946877-n,"テクスチャー,肌目,テクスチャ,肌理,風合い",,,表面または布地の感触
Attribute,entity:abstraction:attribute:property:temporal property:duration,05058400,"duration,length",,,"continuance in time; ""the ceremony was of short duration""; ""he complained about the length of time required""",05051249-n,"継続期間,期間",,,時間内の存続
Attribute,entity:abstraction:attribute:property:temporal property:duration:lengthiness,05059047,"lengthiness,prolongation,continuation,protraction",,,the consequence of being lengthened in duration,05051896-n,"引き伸ばし,延長,引き延ばし,引延し,引伸し,引延,引伸,長引かせること,継続",,,持続期間の延長の結果
Attribute,entity:abstraction:attribute:property:temporal property:pace,05065731,"pace,rate",,,"the relative speed of progress or change; ""he lived at a fast pace""; ""he works at a great rate""; ""the pace of events accelerated""",05058580-n,"ペース,速度,歩み,スピード,速さ,歩,進度",,,進歩や変化の相対的な速さ
Attribute,entity:abstraction:attribute:property:visual property:color:achromatic color:gray:ash grey,04969239,"ash grey,ash gray,silver,silver grey,silver gray",,,a light shade of grey,04962062-n,"銀灰色,しろがね色,シルバーグレー,銀鼠,銀色,銀鼠色,アッシュグレー,シルバー,銀,シルヴァー,シルバーグレイ",,,灰色の明るい色合い
Attribute,entity:abstraction:attribute:property:visual property:color:chromatic color:blue,04976072,"blue,blueness",,,"blue color or pigment; resembling the color of the clear sky in the daytime; ""he had eyes of bright blue""",04968895-n,"ブルー,青,青み,青味,青碧,青色",,,青い色、または顔料
Attribute,entity:abstraction:attribute:property:visual property:color:chromatic color:blue:dark blue,04976880,"dark blue,navy,navy blue",,,a dark shade of blue,04969703-n,"褐,ネイヴィー,ネーヴィブルー,濃紺色,ネービーブルー,ダークブルー,紺,ネイビイブルー,ネイビー,濃紺,ダーク・ブルー",,,濃い色合いの青
Attribute,entity:abstraction:attribute:property:visual property:color:chromatic color:green,04974368,"green,greenness,viridity",,,green color or pigment; resembling the color of growing grass,04967191-n,"新緑の色,翠,翠色,グリーン,翠緑,緑,緑であること,緑色",,,緑色の色または顔料
Attribute,entity:abstraction:attribute:property:visual property:color:chromatic color:orange,04972356,"orange,orangeness",,,orange color or pigment; any of a range of colors between red and yellow,04965179-n,"オレンジ色,オレンジ色であること,橙色,オレンジ,橙黄色,柑子色,橙",,,オレンジのペンキまたは絵の具
Attribute,entity:abstraction:attribute:property:visual property:color:chromatic color:pastel,04981842,pastel,,,any of various pale or light colors,04974575-n,"淡彩,パステル",,,淡く、薄い様々な色
Attribute,entity:abstraction:attribute:property:visual property:color:chromatic color:red,04969961,"red,redness",,,red color or pigment; the chromatic color resembling the hue of blood,04962784-n,"レッド,赤,緋,朱,赤いこと,さ丹,丹赤,朱塗,赤み,真赭,赤色,丹色",,,赤い色または顔料
Attribute,entity:abstraction:attribute:property:weakness,05047429,weakness,,,"the property of lacking physical or mental strength; liability to failure under pressure or stress or strain; ""his weakness increased as he became older""; ""the weakness of the span was overlooked until it collapsed""",05040275-n,"脆弱さ,ひ弱さ,弱み,虚弱さ,懦弱さ,弱いこと,弱味,薄弱さ,か弱さ,惰弱さ,弱さ",,,肉体的な、または精神的な強さを欠いた特性
Attribute,entity:abstraction:attribute:property:weakness:vulnerability:exposure,05051127,exposure,,,"vulnerability to the elements; to the action of heat or cold or wind or rain; ""exposure to the weather""; ""they died from exposure""",05043973-n,"曝露,さらされている状態",,,要素への脆弱性
Attribute,entity:abstraction:attribute:quality:ability,05207437,ability,,,the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment,05200169-n,"力量,力倆,能,アビリティー,アビリティ,力,能力",,,やり遂げることができるという特質
Attribute,entity:abstraction:attribute:quality:ability:competence,05160767,"competence,competency",,,the quality of being adequately or well qualified physically and intellectually,05153520-n,"スキル,器量,才能,才腕,才,甲斐性,適格性,有能さ,実力,能,英気,伎倆,堪能,技量,能力,技倆,腕,技術",,,身体的にも知的にも、適度に、または十分能力に恵まれているという特質
Attribute,entity:abstraction:attribute:quality:ability:physical ability:voice,05209552,voice,,,"the ability to speak; ""he lost his voice""",05202284-n,声,,,話す能力
Attribute,entity:abstraction:attribute:quality:accuracy:exactness:preciseness,04811129,"preciseness,precision",,,"the quality of being reproducible in amount or performance; ""he handled it with the preciseness of an automaton""; ""note the meticulous precision of his measurements""",04803880-n,"明確さ,精密さ,適確,精度,精確,精密度,適確さ,正確さ,精緻,的確,精確さ,確度,的確さ,精細",,,量、あるいは行為が再生可能である性質
Attribute,entity:abstraction:attribute:quality:appearance,04681322,"appearance,visual aspect",,,outward or visible aspect of a person or thing,04673965-n,"風姿,風付き,相好,形振り,身なり,形姿,形相,粧い,姿,装い,見映え,装,外形,外面,風貌,恰好,姿容,見た目,見掛,格好,表面,外観,見栄え,容,体裁,風袋,態,見せ掛け,形貌,見て呉れ,風采,ルックス,見栄,見掛け,風骨,見せかけ,仮象,顔,表構,容姿,表構え,風体,うわべ,見かけ,見映,外見",,,人や物の、外に現われた目に見える様子
Attribute,entity:abstraction:attribute:quality:appearance:beauty:attractiveness:appeal,04694682,"appeal,appealingness,charm",,,"attractiveness that interests or pleases or stimulates; ""his smile was part of his appeal to her""",04687333-n,魅力,,,興味を持たせ、喜ばせ、刺激を与える魅力
Attribute,entity:abstraction:attribute:quality:appearance:blemish:mole,04701152,mole,,,a small congenital pigmented spot on the skin,04693804-n,"黒子,黒あざ,ほくろ,黒痣",,,生まれつき肌にある色のついた小さなしみ
Attribute,entity:abstraction:attribute:quality:appearance:blemish:scratch,04701248,"scratch,scrape,scar,mark",,,an indication of damage,04693900-n,"創痕,引っ攣り,切疵,掻傷,疵ぐち,疵あと,引っつれ,瘢痕,残痕,掠傷,擦疵,引っ攣れ,痕跡,引き攣り,引っつり,創痍,擦痕,引攣り,掻き疵,擦り傷,すり傷,掠疵,微傷,掻疵,痕,傷口,浅傷,古疵,爪痕,擦りきず,疵口,摺,傷痕,古傷,引攣,疵跡,切傷,摩れ,きず口,摩,切り疵,擦過傷,傷,疵,擦り疵,微瑕,掠り傷,擦傷,かすり傷,傷ぐち,掠り,古創,摺れ,瘡痕,すり疵,擦れ,掠り疵,爪跡,疵痕,傷跡,かすり疵,掻き傷",,,損傷の印
Attribute,entity:abstraction:attribute:quality:appearance:blemish:smudge,04701789,"smudge,spot,blot,daub,smear,smirch,slur",,,"a blemish made by dirt; ""he had a smudge on his cheek""",04694441-n,"染み,スポット,染,汚点,汚れ",,,泥でつけられた傷
Attribute,entity:abstraction:attribute:quality:appearance:color,04682325,"color,colour",,,the appearance of objects (or light sources) described in terms of a person's perception of their hue and lightness (or brightness) and saturation,04674968-n,"色,色つや,色彩,カラー,色艶",,,一人の人の色相、明度（あるいは輝度）そして彩度の知覚から説明された物体（または、光源）の外観
Attribute,entity:abstraction:attribute:quality:appearance:impression,04682671,"impression,effect",,,"an outward appearance; ""he made a good impression""; ""I wanted to create an impression of success""; ""she retained that bold effect in her reproductions of the original painting""",04675314-n,"印象,感じ,心証,所感,インプレッション",,,外見
Attribute,entity:abstraction:attribute:quality:appearance:look,04682072,look,,,"physical appearance; ""I don't like the looks of this place""",04674715-n,"面様,面構,面構え,見附き,身なり,形相,つら構え,顔色,見付,相形,粧い,姿,装い,装,顔付き,様相,恰好,面体,見た目,格好,顔ばせ,見せ掛け,相貌,血相,風采,面もち,表情,風骨,見せかけ,顔付,目色,顔,面持,面がまえ,つら構,目見,目顔,風体,顔つき,観,見附,見付き,形状,外見",,,身体的な見た目
Attribute,entity:abstraction:attribute:quality:asset,05161764,"asset,plus",,,a useful or valuable quality,05154517-n,"プラス,利,効,冥利,ベネフィット,アドバンテージ,効用,益,効能",,,役に立つ、または価値のある性質
Attribute,entity:abstraction:attribute:quality:asset:advantage:lead,05164526,lead,,,"an advantage held by a competitor in a race; ""he took the lead at the last turn""",05157143-n,リード,,,レースで競争者が確保した優勢
Attribute,entity:abstraction:attribute:quality:asset:advantage:privilege,05165679,privilege,,,a special advantage or immunity or benefit not enjoyed by all,05158296-n,"特恵,権利,特典,特権",,,みんなが享受できない、特別な有利さ、特典、利益
Attribute,entity:abstraction:attribute:quality:asset:advantage:profit,05164957,"profit,gain",,,the advantageous quality of being beneficial,05157574-n,"プラス,便益,利,得分,得利,ゲイン,プロフィット,益,有益,得,妙味",,,ためになるという有利な特質
Attribute,entity:abstraction:attribute:quality:asset:advantage:superiority:edge,05166240,edge,,,"a slight competitive advantage; ""he had an edge on the competition""",05158857-n,#N/A,,,競争上のわずかな優位性
Attribute,entity:abstraction:attribute:quality:asset:forte,05166608,"forte,strong suit,long suit,metier,specialty,speciality,strong point,strength",,,"an asset of special worth or utility; ""cooking is his forte""",05159225-n,"長所,取り得,おはこ,取所,取り柄,特長,専売特許,お家芸,十八番,強み,得手,強い所,取り所,特技",,,特別な有用性の利点
Attribute,entity:abstraction:attribute:quality:asset:resource,05161923,resource,,,"a source of aid or support that may be drawn upon when needed; ""the local library is a valuable resource""",05154676-n,リソース,,,必要なとき引き出せる助力の源
Attribute,entity:abstraction:attribute:quality:attraction,04695595,"attraction,attractiveness",,,"the quality of arousing interest; being attractive or something that attracts; ""her personality held a strange attraction for him""",04688246-n,"魅力,引力",,,興味を刺激する質
Attribute,entity:abstraction:attribute:quality:attraction:affinity,04695997,affinity,,,"a natural attraction or feeling of kinship; ""an affinity for politics""; ""the mysterious affinity between them""; ""James's affinity with Sam""",04688648-n,"親近感,親近さ",,,密接な関係から生じた、自然に引きつける力および意識
Attribute,entity:abstraction:attribute:quality:bad:liability:disadvantage,05169087,disadvantage,,,the quality of having an inferior or less favorable position,05161614-n,不利,,,下位の、またはより好ましくない位置にあるという特質
Attribute,entity:abstraction:attribute:quality:bad:liability:disadvantage:drawback:catch,05172200,"catch,gimmick",,,"a drawback or difficulty that is not readily evident; ""it sounds good but what's the catch?""",05164673-n,"仕掛け,仕掛,ギミック",,,簡単にははっきり分からない難点や難事
Attribute,entity:abstraction:attribute:quality:bad:liability:disadvantage:limitation,05169982,limitation,,,"the quality of being limited or restricted; ""it is a good plan but it has serious limitations""",05162455-n,"制約,限度,制限,限定,限界,リミテーション",,,限られたり、抑えられたりする特質
Attribute,entity:abstraction:attribute:quality:characteristic,04738737,characteristic,,,a distinguishing quality,04731497-n,"特有性,特徴,特質,徴表,特殊性,特性",,,物事を特色付ける性質
Attribute,entity:abstraction:attribute:quality:characteristic:compatibility:harmony,04720394,"harmony,harmoniousness",,,compatibility in opinion and action,04713118-n,"調和,諧調,ハーモニー,コンコルド",,,意見や行動での適合性
Attribute,entity:abstraction:attribute:quality:characteristic:incompatibility:conflict,04721955,conflict,,,"an incompatibility of dates or events; ""he noticed a conflict in the dates of the two meetings""",04714679-n,"摩擦,もめ事,コンフリクト,葛藤",,,日付や行事での不一致
Attribute,entity:abstraction:attribute:quality:credibility,04790142,"credibility,credibleness,believability",,,the quality of being believable or trustworthy,04782878-n,"信憑性,信ぴょう性,信頼性,真実性",,,信用、信頼できる性質
Attribute,entity:abstraction:attribute:quality:difference:dissimilarity:nonuniformity:heterogeneity:diverseness,04758560,"diverseness,diversity,multifariousness,variety",,,"noticeable heterogeneity; ""a diversity of possibilities""; ""the range and variety of his work is amazing""",04751305-n,"数数,バラエティー,多種多様,千差万別,多種,多様性,多様さ,ヴァラエティー,種々雑多,千姿万態,雑多さ,多種多様さ,諸般,種種,多彩,別種,多様なこと,数々,多彩さ,バラエティ,種々,千般,ヴァリエティ,千態万状,ヴァラエティ,万状,まちまち",,,目立つ異種性
Attribute,entity:abstraction:attribute:quality:difficulty,04716529,"difficulty,difficultness",,,"the quality of being difficult; ""they agreed about the difficulty of the climb""",04709253-n,"難,難しさ,困難さ",,,難しい性質
Attribute,entity:abstraction:attribute:quality:elegance:dash,04820120,"dash,elan,flair,panache,style",,,"distinctive and stylish elegance; ""he wooed her with the confident dash of a cavalry officer""",04812871-n,"力強さ,上品さ,華々しさ,あかぬけていること",,,目立って、上品な優雅さ
Attribute,entity:abstraction:attribute:quality:fidelity:loyalty,04884725,"loyalty,trueness",,,the quality of being loyal,04877530-n,"忠実さ,忠信,忠誠",,,忠実である性質
Attribute,entity:abstraction:attribute:quality:fidelity:loyalty:patriotism,04885296,"patriotism,nationalism",,,"love of country and willingness to sacrifice for it; ""they rode the same wave of popular patriotism""; ""British nationalism was in the air and patriotic sentiments ran high""",04878101-n,"愛国心,愛国,愛国主義,パトリオティズム",,,国を愛すること、またそのために進んで犠牲になること
Attribute,entity:abstraction:attribute:quality:generality:commonality:solidarity,04772293,solidarity,,,a union of interests or purposes or sympathies among members of a group,04765038-n,"連帯意識,連帯,結束,一致団結,一揆,団結",,,グループのメンバーの間で関心事、目的、共感における団結
Attribute,entity:abstraction:attribute:quality:good:benefit,05149888,"benefit,welfare",,,"something that aids or promotes well-being; ""for the benefit of all""",05142641-n,"便宜,プラス,厚生,便益,特恵,恩恵,裨益,ベネフィット,特典,福利,福祉,為,恩徳,益,有益,恵沢,恩沢,恩",,,幸福を助け、推進する何か
Attribute,entity:abstraction:attribute:quality:good:benefit:advantage,05150110,"advantage,reward",,,"benefit resulting from some event or action; ""it turned out to my advantage""; ""reaping the rewards of generosity""",05142863-n,"褒美,余慶,善報,利益,褒賞,報労,メリット,特恵,代償,冥利,報酬,報い,恩賞,特典,利得,報答,酬い,陽報,報奨,応報",,,何らかの出来事か動作から生じる利益
Attribute,entity:abstraction:attribute:quality:good:worthiness:deservingness,04814129,"deservingness,merit,meritoriousness",,,"the quality of being deserving (e.g., deserving assistance); ""there were many children whose deservingness he recognized and rewarded""",04807050-n,"長所,取り得,値打,値,取柄,美質,メリット,取り柄,取りえ,佳処,利点,特長,賞賛に値する優秀さ,佳所,取り所,価値,報酬に値すること,正当な資格のあること,値打ち,美点",,,相当している質（例えば、例えば援助に値する）
